table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2010 to April 1, 2020",,,,,,,,,,,,
Geographic Area,"April 1, 2010 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,"April 1, 2020 Census"
,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
.North Carolina,"9,535,762","9,571,037","9,641,131","9,719,755","9,800,429","9,876,774","9,962,464","10,072,775","10,172,498","10,273,864","10,369,657","10,439,434"
.North Dakota,"672,575","675,097","687,257","705,347","727,655","744,628","762,814","764,781","766,807","771,499","776,548","779,091"
.Ohio,"11,536,763","11,541,932","11,558,178","11,573,400","11,612,081","11,648,921","11,674,622","11,702,354","11,737,959","11,763,104","11,788,679","11,799,530"
.Oklahoma,"3,751,582","3,759,558","3,786,536","3,815,196","3,847,936","3,871,400","3,900,900","3,916,688","3,920,316","3,928,371","3,943,727","3,959,353"
.Oregon,"3,831,083","3,837,609","3,872,651","3,900,064","3,924,055","3,965,375","4,018,453","4,093,165","4,147,171","4,183,398","4,215,959","4,237,238"
.Pennsylvania,"12,702,891","12,716,596","12,773,059","12,816,003","12,847,236","12,880,907","12,899,169","12,918,673","12,945,701","12,980,946","12,991,539","13,002,744"
.Rhode Island,"1,052,970","1,054,975","1,058,746","1,063,756","1,068,358","1,073,245","1,077,555","1,082,431","1,085,105","1,091,824","1,094,580","1,097,391"
.South Carolina,"4,625,358","4,633,669","4,661,744","4,699,358","4,738,067","4,789,723","4,850,136","4,908,404","4,963,742","5,019,607","5,076,874","5,118,456"
.South Dakota,"814,198","816,068","823,113","832,730","841,120","847,538","852,029","860,557","870,094","875,247","882,486","886,669"
.Tennessee,"6,346,281","6,356,388","6,404,657","6,463,610","6,508,290","6,559,452","6,613,679","6,673,101","6,740,060","6,806,981","6,862,615","6,910,858"
.Texas,"25,146,072","25,238,386","25,627,909","26,052,403","26,433,846","26,903,208","27,394,564","27,825,975","28,188,852","28,508,309","28,856,455","29,145,517"
.Utah,"2,763,891","2,776,212","2,818,798","2,861,360","2,909,190","2,951,948","3,000,449","3,064,277","3,126,779","3,181,595","3,233,028","3,271,601"
.Vermont,"625,727","626,366","629,600","630,693","632,859","633,872","635,912","636,397","639,087","640,680","641,847","643,072"
.Virginia,"8,001,046","8,025,105","8,107,953","8,197,400","8,270,221","8,334,206","8,390,494","8,445,270","8,503,046","8,547,370","8,597,508","8,631,410"
.Washington,"6,724,540","6,743,680","6,830,840","6,904,658","6,975,001","7,068,971","7,181,417","7,316,788","7,447,469","7,549,002","7,638,923","7,705,305"
.West Virginia,"1,853,008","1,854,404","1,857,305","1,858,706","1,856,588","1,852,948","1,846,270","1,835,935","1,822,742","1,810,572","1,800,441","1,793,750"
.Wisconsin,"5,687,285","5,692,038","5,713,359","5,734,379","5,757,584","5,778,789","5,794,536","5,812,814","5,836,809","5,859,000","5,880,280","5,893,698"
.Wyoming,"563,775","564,402","566,844","575,491","580,937","580,959","583,671","582,007","576,240","574,783","575,327","576,851"
,,,,,,,,,,,,
.Puerto Rico,"3,726,157","3,724,465","3,693,464","3,661,045","3,631,427","3,585,017","3,535,167","3,480,432","3,410,837","3,290,690","3,302,691","3,285,874"
"2010-2020 Intercensal Estimates data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0481).   ",,,,,,,,,,,,
"The April 1, 2010 population estimates base reflects changes to the 2010 Census population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions. The data source for April 1, 2020 is the 2020 Census count featuring the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2010-2020 Intercensal Estimates series are as of 2020.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2010 to April 1, 2020 (NST-EST2020INT-POP)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: November 2024,,,,,,,,,,,,
