State,Amount($)
New York,338358180
California,322741394
Illinois,250062432
Florida,155666964
Ohio,150585812
Oklahoma,122340000
Texas,101102742
North Carolina,65257764
Missouri,56617011
New Jersey,55903406
Hawaii,51869413
Arizona,51633537
Washington,50508463
Massachusetts,49817519
Kansas,48770852
Pennsylvania,47827474
Minnesota,46126448
Rhode Island,42375000
Indiana,38270000
Kentucky,32996377
Iowa,31937851
Alabama,28302500
Tennessee,28097545
Oregon,26398832
Wyoming,24894651
Wisconsin,23783342
Connecticut,23357897
Nebraska,22936318
Georgia,22755984
South Carolina,21209084
West Virginia,19185650
Puerto Rico,18381730
Maine,17200880
Michigan,17155000
Virginia,16912070
Vermont,16596594
Mississippi,16501891
Nevada,15825906
Alaska,15115499
New Mexico,15004195
Idaho,13799370
Louisiana,12510000
South Dakota,11691962
New Hampshire,11573564
Montana,7843256
North Dakota,7536174
Colorado,6561837
Maryland,4574846
Arkansas,4000000
Utah,3002474
Delaware,2460446
