DW Assistance Provided,,,,,,,
Report Date: 02/20/2026 09:18:13,,,,,,,
Report Filters:  State in (NC) Reporting Year 2025,,,,,,,
,,,,,,,
Agreement Action,State,Borrower,Loan Tracking Number,Assistance Type,Date of Agreement Action,Number of New Agreements</br> (Includes Sub agreements),Amount of New Funding
New Assistance,NC,Orange Water and Sewer Authority,SRF-D-EC-0023,Loan,04/09/2025,1,"1,000,000"
New Assistance,NC,"Goldsboro, City of",SRF-D-EC-0022,Loan,12/17/2024,1,"500,000"
New Assistance,NC,Roanoke Rapids Sanitary District,SRF-D-EC-0021,Loan,01/10/2025,1,"500,000"
New Assistance,NC,Lumberton,SRF-D-EC-0016,Loan,02/19/2025,1,"500,000"
New Assistance,NC,"Harnett, County of",SRF-D-EC-0012,Loan,12/06/2024,1,"500,000"
New Assistance,NC,South Granville Water & Sewer Authority,SRF-D-EC-0011,Loan,07/30/2024,1,"500,000"
New Assistance,NC,"Siler City, Town of",SRF-D-EC-0010,Loan,04/09/2025,1,"400,000"
New Assistance,NC,"Norwood, Town of",SRF-D-EC-0009,Loan,12/10/2024,1,"500,000"
New Assistance,NC,"Graham, City of",SRF-D-EC-0008,Loan,08/29/2024,1,"500,000"
New Assistance,NC,Martin County Regional W&SA,SRF-D-EC-0007,Loan,02/14/2025,1,"500,000"
New Assistance,NC,"Carthage, Town of",SRF-D-EC-0006,Loan,01/21/2025,1,"400,000"
New Assistance,NC,Fayetteville Public Water Commission,SRF-D-EC-0005,Loan,03/06/2025,1,"500,000"
New Assistance,NC,Neuse Regional Water & Sewer Authority,SRF-D-EC-0004,Loan,07/01/2024,1,"500,000"
New Assistance,NC,Columbus County Water Dist IV,SRF-D-2063,Loan,02/28/2025,1,"2,574,639"
New Assistance,NC,"Holly Springs, Town of",SRF-D-2062,Loan,11/20/2024,1,"7,021,926"
New Assistance,NC,"Aqua North Carolina, Inc.",SRF-D-2061,Loan,06/12/2025,1,"4,347,960"
New Assistance,NC,"Fuquay-Varina, Town of",SRF-D-2060,Loan,11/20/2024,1,"10,532,889"
New Assistance,NC,Junaluska Sanitary District,SRF-D-2059,Loan,10/22/2024,1,"9,495,104"
New Assistance,NC,"Warrenton, Town of",SRF-D-2057,Loan,03/21/2025,1,"1,564,600"
Changes in Assistance,NC,"Rockingham, County of",1997,Loan,06/20/2025,0,"-69,068"
