State,Amount($)
Ohio,618152244.14
Arkansas,408823894.74
Illinois,333189160.99
Pennsylvania,294491221.33
New York,195601285
South Dakota,181013205
Massachusetts,175281540
Michigan,166779690
Florida,162878861.5
Texas,160094327
Kansas,149032997.9
Indiana,133351695
Colorado,132284989.46
California,108625992.13
Georgia,103520825.49
Arizona,103340160.9
New Jersey,100019796.03
North Carolina,93873069
Iowa,88407202.52
Oklahoma,81390630.97
Puerto Rico,73821408
Alabama,73017736.48
Wisconsin,65164684
Louisiana,55350160.33
Tennessee,46820111
Hawaii,44803584.23
Nebraska,43775169
Oregon,43061667
Utah,42205923
Maine,33775652.19
Delaware,30298189.44
North Dakota,29904809
Mississippi,27531617
New Mexico,23866746.15
Idaho,23816812
Virginia,20584189
Vermont,19648379.35
Minnesota,14881868.52
West Virginia,14528734
New Hampshire,14427209.91
Wyoming,13078546.62
Rhode Island,13028350
Montana,12555900
South Carolina,10949707
Kentucky,8904364
Connecticut,8620382.82
Nevada,3672672.3
Missouri,3332733.6
Alaska,1519587.44
Maryland,1455382
Washington,1365344
