State,Amount($)
Ohio,674451189.36
Illinois,552821860.72
Florida,543129453
California,459721973.56
Massachusetts,445203780
Indiana,437493178
New York,395460355
Pennsylvania,335849582.12
Michigan,302215209.47
Wisconsin,260499414.49
New Jersey,258892674
Mississippi,232240097
Arkansas,227124368.92
Minnesota,224698632.34
Texas,217918330
Oklahoma,205738209.86
South Dakota,198948256
West Virginia,170886460
Louisiana,139821800
Colorado,137151998.96
Kansas,117214487.16
Iowa,115330826.76
North Carolina,113845780.24
North Dakota,107666087
Nevada,83824995.91
Nebraska,83701351
Utah,81828933.63
Washington,80568271.55
Georgia,78133307
Alabama,73647566.5
Virginia,70070018.84
Puerto Rico,65825480
Kentucky,61864948
Idaho,61309487
Tennessee,58307725
Missouri,57671291.84
South Carolina,56318286
Montana,55580528
Connecticut,53212797.57
Wyoming,49155644.59
New Hampshire,40577863.57
Arizona,37122767.52
Maine,37087820.96
Vermont,35915603.87
Rhode Island,34415924.18
New Mexico,32244836.49
Oregon,30665218
Hawaii,29099405.02
Delaware,23911116
Alaska,19719892.82
Maryland,13754748
