State,Amount($)
New York,248146959
Texas,198258466
Illinois,148142637
California,104634371
Massachusetts,103040189
Iowa,98789859
Michigan,67860000
Minnesota,66923662
North Carolina,63582477
Wisconsin,61048410
Washington,60276716
New Jersey,52014748
Nevada,47407442
Colorado,47122996
Hawaii,45997137
Oklahoma,45846456
South Dakota,42232768
Louisiana,36560975
South Carolina,33811301
Georgia,32276707
Arizona,32250998
New Hampshire,30841289
Ohio,30313381
Pennsylvania,28471382
Rhode Island,28368232
Tennessee,26058374
Connecticut,25885668
Indiana,24902000
Kansas,22486253
Kentucky,22130845
Utah,21854006
Montana,19232117
North Dakota,18034347
Mississippi,17604541
Maine,16656939
Virginia,16262052
Alaska,14587991
Puerto Rico,12954367
Alabama,12227200
Vermont,11923010
Wyoming,11794023
Idaho,11718382
Oregon,10778007
Arkansas,10531800
West Virginia,10004588
Missouri,9536436
New Mexico,8069586
Florida,7410497
Delaware,5709300
Nebraska,3182660
Maryland,1413921
