State,Amount($)
California,903613109.08
Oklahoma,269860503.67
Texas,231185443
Ohio,224952870.93
Michigan,222492070
Florida,169784199
Kansas,164196737.94
Pennsylvania,157079589.52
Illinois,155985857.07
New York,147020931
Massachusetts,131978728
New Jersey,127978406
Washington,115975247.02
Indiana,112560000
North Carolina,106535055
Nebraska,94347215
Wisconsin,88320438
Arizona,84516505.83
Minnesota,76822308.46
Kentucky,72852969
Alabama,60737126.06
Puerto Rico,46269025
Iowa,45748299.78
Oregon,42321045
Montana,40718670
West Virginia,37645530
Mississippi,31828456
South Dakota,31652108
South Carolina,30037064
North Dakota,28498562
Louisiana,26267000
Tennessee,26069827.73
Delaware,25877880
Hawaii,23383121.99
Missouri,20045243.88
Rhode Island,19445062
Georgia,19156867.19
Alaska,17969526.4
Colorado,17538602.12
Connecticut,16559120.91
Vermont,16433753.11
Utah,14688400
Maryland,12925728
Idaho,11389335
Virginia,10960861.14
Maine,9745947.23
Wyoming,9579330.17
Arkansas,9263263.15
New Mexico,8211766.53
Nevada,6992833.8
New Hampshire,6777506.38
